Inq	Pessoas	P_menos10anos	P_10a14anos	P_15a18anos	P_mais18anos	Alunos - viajam acompanhados ou sozinhos	Alunos - modo de transporte	Automoveis	Motas	Desp_auto	Est_privado	Lug_Dispõe	Lug_Utiliza	Alug_estac	CartaCond	Inq_idade	Inq_sexo	Pess_Emprego	Pess_carta	Inq_Instrucao	Inq_profissão	Trab_conta	Princ_cont	PrincCont_Idade	PrincCont_Sexo	PrincCont_NivInst	PrincCont_Profissão	PrincCont_Conta PO	Rendimento	STATUS SOCIAL	Coord_X	Coord_Y	GrauGeoreferenciacao	Tipo	Zona	Concelho	Tipo_Inq	Coef_Exp	SumViagens	Polo Universitário	Ramal da Lousã	Auxiliar	Inquéritos Válidos FINAIS
59	5	0	0	1	4	0	0	2	2	98	2	2	2	0	2	38	2	1	3	5	15	0	2	37	1	4	6	2	2	C	171 425	391 148	4	R	10	Anadia	2	49.8	4			2 | 2	1
60	2	0	0	0	2	0	0	1	98	98	2	1	1	0	3	77	2	98	1	6	10		2	86	1	6	10	99	1	D	206 699	360 872	2	U	204	Arganil	2	51.3	0			4 | 2	1
61	3	0	0	0	3	0	0	1	98	98	1			1	2	25	2	2	1	4	11	2	2	57	1	6	11	2	99	D	227 436	380 516	4	R	203	Oliveira do Hospital	2	58.9	2			2 | 2	1
62	2	0	0	0	2	0	0	1	98	98	2	2	1	0	2	70	1	2	1	6	10	0	1				10		1	D	167 915	386 411	4	R	108	Anadia	2	44.5	4			4 | 1	1
63	3	0	0	0	3	0	0	98	1	98	1			1	3	72	2	98	1	7	10	0	2	73	1	7	14	2	1	E	175 744	348 831	4	R	114	Condeixa-a-Nova	2	67.0	0			4 | 2	1
64	2	0	0	0	2	0	0	1	98	98	2	1	1	0	3	73	2	98	1	6	10		2	74	1	6	10	99	99	D	193 333	354 308	4	R	30	Lousã	2	25.2	0			4 | 2	1
65	4	1	0	0	3	0	0	2	2	98	2	2	2	0	2	34	1	2	3	4	14	2	1				14		3	E	162 930	384 116	4	R	107	Anadia	2	76.0	3			2 | 1	1
66	2	0	0	0	2	0	0	98	98	98	1			1	3	20	2	1	98	4	11	2	1				11		1	D	172 224	359 890	2	U	328	Coimbra	1	10.4	2			1 | 2	1
67	2	0	0	0	2	0	0	2	98	1	2	2	2	0	2	74	2	98	2	4	6	1	2	78	1	4	3	1	99	B	171 425	391 148	4	R	10	Anadia	2	36.6	2			4 | 2	1
68	1	0	0	0	1	0	0	98	98	98	1			1	3	86	2	1	98	6	6	1	1				6		1	C	197 084	372 376	4	R	113	Penacova	2	31.8	2			4 | 2	1
69	4	0	0	0	4	0	0	1	1	98	2	3	1	0	2	45	2	2	4	5	15		2	49	1	6	4	1	99	C	180 530	391 592	4	R	109	Anadia	2	44.6	0			3 | 2	1
70	2	0	0	0	2	0	0	1	98	98	2	1	1	0	2	27	2	2	2	3	9	2	2	30	1	5	14	2	3	E	167 245	383 960	4	R	107	Anadia	2	51.6	2			2 | 2	1
71	3	0	0	0	3	0	0	4	98	98	2	1	1	0	2	55	1	1	3	2	10	0	1				10		6	B	187 212	366 923	1	U	24	Penacova	2	41.2	2			3 | 1	1
72	1	0	0	0	1	0	0	2	98	1	2	1	1	0	2	31	1	1	1	1	7	2	1				7		2	B	172 336	360 307	2	U	328	Coimbra	1	13.8	2			2 | 1	1
73	1	0	0	0	1	0	0	98	98	98	1			1	3	65	2	98	98	7	15		1				15		1	D	222 333	380 252	4	R	203	Oliveira do Hospital	2	58.9	1			4 | 2	1
74	4	0	0	0	4	0	0	3	1	98	2	2	2	0	2	27	2	4	3	1	7	2	1				7		99	B	182 963	389 139	4	R	109	Anadia	2	51.0	2			2 | 2	1
75	5	1	1	1	2	2	3	1	98	98	2	1	1	0	3	41	2	1	1	3	6	1	1				6		3	B	206 674	361 094	1	U	204	Arganil	2	63.6	2			2 | 2	1
76	2	0	0	0	2	0	0	98	1	98	2	1	1	0	2	79	2	99	99	6	10		1				10		99	D	176 041	386 054	4	R	109	Anadia	2	36.7	2			4 | 2	1
77	4	0	0	0	4	0	0	2	98	98	2	3	2	0	2	53	2	2	2	5	12	1	2	54	1	6	12	1	2	E	167 299	387 063	2	U	108	Anadia	2	31.3	3			3 | 2	1
78	2	0	0	0	2	0	0	2	98	98	2	2	1	0	2	70	2	98	2	5	10	0	1				10		99	D	164 868	387 079	4	R	108	Anadia	2	34.2	0			4 | 2	1
79	5	0	0	0	5	0	0	3	2	98	1			1	1	82	2	3	3	6	10	0	1				10		2	D	194 209	372 699	4	R	113	Penacova	2	31.8	0			4 | 2	1
80	1	0	0	0	1	0	0	98	4	98	2	4	4	0	1	73	1	98	99	6	10	0	1				10		2	D	163 331	352 017	4	R	39	Condeixa-a-Nova	2	40.3	2			4 | 1	1
81	3	0	0	0	3	0	0	2	2	98	2	2	2	0	2	45	2	1	2	6	15	0	2	50	1	6	11	2	99	D	219 282	360 844	4	R	205	Arganil	2	47.2	2			3 | 2	1
82	6	1	0	0	5	0	0	1	1	98	1			1	3	19	2	3	1	4	16	0	2	65	2	7	14	2	1	E	165 890	383 894	2	U	107	Anadia	2	47.5	0			1 | 2	1
83	3	0	0	0	3	0	0	1	1	98	2	1	1	0	1	48	2	2	1	6	11	2	2	48	1	6	14	2	2	E	172 336	360 307	2	U	328	Coimbra	1	17.5	2			3 | 2	1
84	1	0	0	0	1	0	0	98	98	98	2	2	98	0	3	67	2	98	98	7	10	0	1				10		1	D	163 418	351 157	2	R	42	Condeixa-a-Nova	2	34.4	0			4 | 2	1
86	2	0	0	0	2	0	0	98	98	98	1			1	3	58	1	98	98	7	10		1				10		1	D	199 472	361 101	4	R	204	Arganil	2	89.9	0			3 | 1	1
87	3	0	0	0	3	0	0	1	1	98	2	2	1	0	3	58	2	1	1	4	15	0	2	61	1	4	14	2	99	E	171 343	385 976	4	R	108	Anadia	2	31.3	0			3 | 2	1
88	1	0	0	0	1	0	0	98	98	98	1			1	3	84	1	98	98	7	10	0	1				10		1	D	219 568	369 317	1	R	203	Oliveira do Hospital	2	55.5	0			4 | 1	1
89	3	0	0	0	3	0	0	2	1	98	2	4	3	0	2	55	2	98	2	6	15	0	2	55	1	4	13	99	99	D	175 619	383 675	2	R	109	Anadia	2	44.6	0			3 | 2	1
90	5	0	0	2	3	0	0	1	98	98	1			1	3	73	2	3	1	7	10	0	2	60	1	7	14	2	1	E	167 753	351 771	4	R	39	Condeixa-a-Nova	2	41.1	0			4 | 2	1
91	4	0	0	0	4	0	0	4	2	98	2	4	4	0	2	26	1	4	4	3	14	2	2	58	1	5	11	2	5	D	189 297	360 373	2	R	25	Vila Nova de Poiares	1	42.1	2			2 | 1	1
92	3	0	0	0	3	0	0	1	98	98	2	2	1	0	3	60	2	1	2	7	10	0	2	74	1	7	10	2	99	D	168 393	351 842	4	R	39	Condeixa-a-Nova	2	34.9	0			3 | 2	1
93	3	0	0	0	3	0	0	2	1	98	1			1	3	42	2	3	2	5	11	2	1				11		3	D	219 441	369 509	1	R	203	Oliveira do Hospital	2	58.9	2			2 | 2	1
94	2	0	0	0	2	0	0	98	98	98	1			1	3	71	2	98	98	7	10	0	2	76	1	7	10	1	1	D	187 735	364 770	4	R	24	Penacova	2	21.2	0			4 | 2	1
95	3	0	0	0	3	0	0	2	98	98	2	2	2	0	2	40	1	98	2	3	13		1				13		99	D	175 714	390 051	1	R	109	Anadia	2	71.9	0			2 | 1	1
96	4	0	0	0	4	0	0	3	1	98	2	6	3	0	1	43	2	2	3	5	15		2	48	1	4	12	1	99	D	180 905	354 409	4	R	35	Miranda do Corvo	2	27.3	2			2 | 2	1
97	5	2	0	0	3	0	0	3	98	98	2	3	3	0	2	77	2	2	3	1	10	0	2	78	1	1	10	2	6	B	167 915	386 411	4	R	108	Anadia	2	34.2	0			4 | 2	1
98	4	0	0	1	3	0	0	1	1	98	2	1	1	0	2	60	1	98	2	5	11	2	2	57	2	5	11	2	99	D	171 191	392 544	1	R	10	Anadia	2	50.5	3			3 | 1	1
99	2	0	0	0	2	0	0	98	98	98	1			1	1	80	1	98	99	7	10	0	1				10		1	D	188 838	364 628	4	R	24	Penacova	2	31.9	0			4 | 1	1
100	3	0	0	1	2	0	0	2	1	98	2	2	2	0	2	46	2	2	2	4	13	0	1				13		3	D	167 753	351 771	4	R	39	Condeixa-a-Nova	2	34.9	2			3 | 2	1
101	2	0	0	0	2	0	0	2	98	98	2	2	2	0	3	64	2	98	1	6	10	0	2	66	1	6	10	1	3	D	212 564	366 663	4	R	205	Arganil	2	47.2	2			3 | 2	1
102	2	0	0	0	2	0	0	98	1	98	1			1	2	40	2	1	1	5	15		2	39	1	5	14	2	1	E	182 326	385 155	2	R	109	Anadia	2	51.0	0			2 | 2	1
103	4	0	1	0	3	2	3	2	1	98	1			1	2	43	2	3	3	6	6	1	2	45	1	5	11	2	99	D	219 606	369 285	2	R	203	Oliveira do Hospital	2	58.9	2			2 | 2	1
104	2	0	0	0	2	0	0	2	98	98	2	2	2	0	2	80	2	98	2	6	12	1	2	77	1	4	7	2	99	C	172 838	391 881	2	R	10	Anadia	2	36.6	0			4 | 2	1
105	4	0	0	0	4	0	0	3	98	98	2	3	3	0	3	67	2	2	3	7	10	0	2	67	1	6	10	1	1	D	184 883	369 365	2	R	24	Penacova	2	21.2	0			4 | 2	1
106	4	0	0	0	4	0	0	1	98	98	2	1	1	0	3	70	2	2	2	6	10	0	1				10		1	D	171 343	385 976	4	R	108	Anadia	2	34.2	0			4 | 2	1
107	5	1	0	0	4	0	0	3	2	1	2	4	3	0	2	25	1	4	2	3	11	2	2	57	1	6	12	2	4	E	199 258	366 425	4	R	204	Arganil	1	91.5	2			2 | 1	1
108	4	0	1	0	3	99	99	3	1	2	2	6	3	0	2	41	2	2	3	5	6	1	2	47	1	5	11	2	99	D	163 794	382 908	2	U	107	Anadia	2	51.6	2			2 | 2	1
109	2	0	0	0	2	0	0	1	1	98	2	1	1	0	2	82	1	98	1	6	99	1	1				99		99	99	171 536	390 689	2	R	10	Anadia	2	35.3	0			4 | 1	1
110	2	0	0	0	2	0	0	2	98	98	2	1	1	0	2	58	1	1	2	4	10	0	1				10		3	C	166 853	353 624	2	R	39	Condeixa-a-Nova	2	38.5	4			3 | 1	1
111	1	0	0	0	1	0	0	98	98	98	1			1	3	74	2	98	98	7	10		1				10		1	D	178 179	381 937	4	R	109	Anadia	2	36.7	0			4 | 2	1
112	2	0	0	0	2	0	0	98	98	98	1			1	3	80	2	98	98	6	10		2	81	1	6	10	99	99	D	216 567	365 440	2	R	205	Arganil	2	47.6	0			4 | 2	1
113	3	0	0	0	3	0	0	1	98	98	2	1	1	0	3	64	2	1	1	7	15	0	2	71	1	6	10	2	1	D	179 742	370 671	4	R	22	Penacova	2	28.5	0			3 | 2	1
114	3	0	0	0	3	0	0	3	98	98	2	3	3	0	2	60	2	2	3	1	7	2	1				7		5	B	167 915	386 411	4	R	108	Anadia	2	31.3	2			3 | 2	1
115	5	0	0	0	5	0	0	98	98	98	2	1	98	0	3	60	1	5	99	6	6	1	1				6		99	C	171 175	335 139	4	R	134	Ansião	2	43.1	0			3 | 1	1
116	2	0	0	0	2	0	0	1	98	98	2	1	1	0	3	64	2	1	1	7	15	0	2	59	1	6	12	1	1	E	181 189	374 722	4	R	112	Penacova	2	22.6	0			3 | 2	1
117	2	0	0	0	2	0	0	3	98	98	2	3	3	0	2	62	2	2	2	2	10	0	1				10		99	B	162 827	383 041	4	R	107	Anadia	2	52.0	5			3 | 2	1
118	6	0	1	1	4	3	4	2	1	98	2	2	2	0	2	37	2	1	3	4	14	2	2	44	1	6	14	2	2	E	201 047	362 144	4	R	204	Arganil	2	63.6	2			2 | 2	1
119	2	0	0	0	2	0	0	98	1	98	2	5	1	0	3	52	2	1	1	6	15	0	2	56	1	6	12	1	2	E	169 928	385 070	2	R	108	Anadia	2	31.3	0			3 | 2	1
120	2	0	0	0	2	0	0	1	98	98	2	1	1	0	2	80	1	98	1	6	6	1	1				6		99	C	172 852	389 906	2	R	10	Anadia	2	35.3	0			4 | 1	1
121	1	0	0	0	1	0	0	98	98	98	1			1	3	81	2	98	98	7	10		1				10		1	D	222 669	373 997	4	R	203	Oliveira do Hospital	2	58.9	0			4 | 2	1
122	2	0	0	0	2	0	0	98	98	98	1			1	3	78	1	98	98	99	10		1				10		99	99	176 730	330 900	4	R	134	Ansião	2	51.6	0			4 | 1	1
123	5	0	0	0	5	0	0	98	98	98	1			1	3	68	2	2	98	7	15	0	2	37	1	7	14	2	2	E	184 409	367 952	4	R	22	Penacova	2	29.3	2			4 | 2	1
125	3	0	0	0	3	0	0	1	2	98	2	4	1	0	2	77	1	3	2	6	10	0	1				10		2	D	165 996	384 770	4	R	107	Anadia	2	27.8	0			4 | 1	1
126	4	0	0	0	4	0	0	3	2	98	2	1	1	0	2	52	2	3	3	6	15	0	2	56	1	4	9	2	99	C	175 984	386 214	2	R	109	Anadia	2	44.6	2			3 | 2	1
127	3	1	0	0	2	0	0	3	1	98	2	3	3	0	2	35	1	2	2	4	12	1	1				12		3	D	197 767	372 149	2	R	113	Penacova	2	50.1	2			2 | 1	1
128	2	0	0	0	2	0	0	2	1	98	2	4	2	0	2	62	2	2	2	2	10	0	1				10		99	B	163 287	386 564	4	R	107	Anadia	2	52.0	2			3 | 2	1
129	2	0	0	0	2	0	0	2	98	98	2	2	2	0	2	75	1	98	2	6	10	0	1				10		1	D	215 860	362 536	4	R	205	Arganil	2	70.4	2			4 | 1	1
130	7	2	0	0	5	0	0	3	1	1	2	3	3	0	2	30	2	5	4	4	11	2	1				11		99	D	225 594	373 955	4	R	203	Oliveira do Hospital	2	58.9	2			2 | 2	1
131	3	0	0	0	3	0	0	1	1	98	2	1	1	0	2	24	2	2	2	1	16	0	2	53	1	6	14	2	2	E	195 003	363 775	2	U	27	Vila Nova de Poiares	1	23.8	2			1 | 2	1
132	4	0	0	1	3	0	0	2	1	98	2	1	1	0	2	22	1	3	2	3	7	2	2	47	1	6	12	1	99	E	180 066	370 644	5	R	22	Penacova	2	106.0	2			1 | 1	1
133	1	0	0	0	1	0	0	98	98	98	1			1	3	77	2	98	98	7	10		1				10		1	D	208 368	363 513	2	R	204	Arganil	2	51.3	2			4 | 2	1
134	2	0	0	0	2	0	0	2	98	98	2	2	2	0	2	29	2	2	2	1	7	2	1				7		99	B	176 750	389 373	2	R	109	Anadia	2	51.0	2			2 | 2	1
135	4	1	1	0	2	6	6	2	98	98	2	2	2	0	2	37	2	1	2	4	15		2	40	1	5	4	1	99	B	173 020	390 264	4	R	10	Anadia	2	49.8	4			2 | 2	1
136	5	0	0	0	5	0	0	2	98	98	2	2	2	0	2	44	2	2	2	4	10	0	2	54	1	6	14	2	2	E	166 432	331 857	4	R	134	Ansião	2	38.1	4			2 | 2	1
137	5	0	0	0	5	0	0	2	98	98	2	4	2	0	3	82	2	4	2	6	10	0	2	61	1	1	7	2	99	B	214 123	364 957	4	R	205	Arganil	2	47.6	0			4 | 2	1
138	6	0	0	2	4	0	0	3	98	98	2	3	3	0	2	43	2	2	3	6	4	1	2	44	1	4	11	2	2	D	164 831	354 258	4	R	39	Condeixa-a-Nova	2	30.4	2			2 | 2	1
